market,sector,symbol,symbol_name,description,link_website,one_report_link,last_updated_at
SET,HELTH,BDMS,บริษัท กรุงเทพดุสิตเวชการ จำกัด(มหาชน),บริษัทเป็นผู้ประกอบการธุรกิจโรงพยาบาลเอกชนขนาดใหญ่ของประเทศ โดยมีโรงพยาบาลเครือข่ายในไทยและกัมพูชา ดำเนินการภายใต้ชื่อโรงพยาบาล 6 กลุ่ม คือ กลุ่มโรงพยาบาลกรุงเทพ กลุ่มโรงพยาบาลสมิติเวช โรงพยาบาลบี เอ็น เอช กลุ่มโรงพยาบาลพญาไท กลุ่มโรงพยาบาลเปาโล และกลุ่มโรงพยาบาลรอยัล นอกจากนี้เครือข่ายของบริษัท กรุงเทพดุสิตเวชการ จำกัด (มหาชน) ยังรวมถึงธุรกิจที่ให้การสนับสนุนด้านการแพทย์ ได้แก่ ธุรกิจห้องปฏิบัติการทางการแพทย์ ธุรกิจผลิตยาและธุรกิจผลิตน้ำเกลือ เป็นต้น,http://www.bangkokhospital.com/,https://weblink.set.or.th/dat/f56/0264ONE270320261453210139T.zip,2026-05-13T12:56:08
mai,TECH,BE8,บริษัท เบริล 8 พลัส จำกัด (มหาชน),"ที่ปรึกษาด้าน Digital Transformation ให้บริการแบบครบวงจรในด้านการบริหารจัดการความสัมพันธ์กับลูกค้า (CRM) การวิเคราะห์ข้อมูลและเทคโนโลยีดิจิทัล และเป็นตัวแทนจำหน่ายซอฟต์แวร์ของบริษัทชั้นนำ เช่น Salesforce, Google, MuleSoft, และ Tableau",http://www.beryl8.com/,https://weblink.set.or.th/dat/f56/1669E1N250320262043020263T.zip,2026-05-13T12:56:17
SET,COMM,BEAUTY,บริษัท บิวตี้ คอมมูนิตี้ จำกัด (มหาชน),"จำหน่ายปลีกผลิตภัณฑ์เครื่องสำอางและบำรุงผิว ปัจจุบันมีการจัดจำหน่ายผลิตภัณฑ์เพื่อความงาม 9 ประเภท ได้แก่ ผลิตภัณฑ์เครื่องสำอาง (Make-up) ผลิตภัณฑ์บำรุงผิวหน้า (Facial care) ผลิตภัณฑ์ทำความสะอาดสุขลักษณะส่วนบุคคล ( Body Hygiene ), ผลิตภัณฑ์บำรุงผิวกาย ( Body Care ),ผลิตภัณฑ์ดูแลเส้นผม ( Hair Care) , น้ำหอม ( Perfume) , ผลิตภัณฑ์อาหารเสริม ( Beauty Drink &Food Supplement ) ,อุปกรณ์เสริม (Beauty Accessories)และผลิตภัณฑ์สำหรับผู้ชาย ( Men?s Care )ภายใต้แนวคิด 3 รูปแบบ ได้แก่ บิวตี้ บุฟเฟต์(BEAUTY BUFFET), บิวตี้ คอทเทจ (BEAUTY COTTAGE), และ เมด อิน เนเจอร์ (MADE IN NATURE) ซึ่งแต่ละแนวคิดจะมีความแตกต่างกันในด้านการออกแบบผลิตภัณฑ์ ช่องทางการจำหน่าย และตำแหน่งทางการตลาด เพื่อการตอบสนองความต้องการต่อกลุ่มลูกค้าเป้าหมายที่แตกต่างกัน",http://www.beautycommunity.co.th/,https://weblink.set.or.th/dat/f56/1112ONE310320261807520319T.zip,2026-05-13T12:56:11
SET,MEDIA,BEC,บริษัท บีอีซี เวิลด์ จำกัด (มหาชน),"กลุ่มบริษัทดำเนินธุรกิจหลัก คือ1) กลุ่มธุรกิจคอนเทนต์ - แพลตฟอร์มโทรทัศน์, ดิจิทัลแพลตฟอร์ม, การจัดจำหน่ายลิขสิทธิ์ในต่างประเทศ, จัดกิจกรรมและบริหารศิลปิน, บริการจัดหา ผลิตรายการบันเทิงและสารคดี 2) กลุ่มธุรกิจสนับสนุน",http://www.becworld.com/,https://weblink.set.or.th/dat/f56/0592E1N300320260942010014T.zip,2026-05-13T12:56:14
SET,TRANS,BEM,บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน),ดำเนินการก่อสร้างและบริหารทางพิเศษและบริหารจัดการโครงการระบบขนส่งมวลชนด้วยรถไฟฟ้า รวมถึงธุรกิจอื่นที่เกี่ยวข้อง (กลุ่มอุตสาหกรรม บริการ หมวดธุรกิจ ขนส่งและโลจิสติกส์),http://www.bemplc.co.th/,https://weblink.set.or.th/dat/f56/1303E1N240320260855180438T.zip,2026-05-13T12:56:29
SET,TOURISM,BEYOND,บริษัท เบาด์ แอนด์ บียอนด์ จำกัด (มหาชน),บริษัทฯ ประกอบธุรกิจลงทุน พัฒนา และดำเนินธุรกิจโรงแรมและการบริการ โดยมุ่งเน้นโรงแรมที่เอกลักษณ์เฉพาะตัว ปัจจุบันบริษัทฯ ลงทุนในโรงแรม 2 แห่ง ได้แก่ โรงแรมโฟร์ซีซั่นส์ กรุงเทพฯ ริมแม่น้ำเจ้าพระยา และโรงแรมคาเพลลา กรุงเทพ,http://www.boundandbeyond.co.th/,https://weblink.set.or.th/dat/f56/0088ONE300320261710050195T.zip,2026-05-13T12:56:22
SET,PKG,BGC,บริษัท บีจี คอนเทนเนอร์ กล๊าส จำกัด (มหาชน),ผลิตและจำหน่ายบรรจุภัณฑ์แก้วที่ใช้ในอุตสาหกรรมเครื่องดื่ม อาหาร และยา,http://www.bgc.co.th/,https://weblink.set.or.th/dat/f56/1460E1N010420260743210215T.zip,2026-05-13T12:56:32
SET,ENERG,BGRIM,บริษัท บี.กริม เพาเวอร์ จำกัด (มหาชน),ประกอบธุรกิจโดยการถือหุ้นในบริษัทอื่น (Holding Company) ที่ประกอบธุรกิจหลักด้านการผลิตและจำหน่ายไฟฟ้า ไอน้ำ และธุรกิจที่เกี่ยวข้องทั้งในประเทศและต่างประเทศ,http://www.bgrimmpower.com/,https://weblink.set.or.th/dat/f56/1339ONE300320261607020897T.zip,2026-05-13T12:56:23
mai,CONSUMP,BGT,บริษัท บีจีที คอร์ปอเรชั่น จำกัด (มหาชน),ธุรกิจค้าปลีกเพื่อจัดจำหน่ายผลิตภัณฑ์เสื้อผ้าสำเร็จรูป และ ผลิตภัณฑ์ที่เกี่ยวข้องภายใต้เครื่องหมายการค้า Body Glove โดยการจัดจำหน่ายผ่านร้านค้าของตนเองและทางห้างสรรพสินค้า,http://www.bodyglove.co.th/,https://weblink.set.or.th/dat/f56/0962ONE300320261905390277T.zip,2026-05-13T12:56:22
SET,HELTH,BH,บริษัท โรงพยาบาลบำรุงราษฎร์ จำกัด (มหาชน),ธุรกิจโรงพยาบาลเอกชน ภายใต้ชื่อ โรงพยาบาลบำรุงราษฎร์อินเตอร์เนชั่นแนล ในกรุงเทพมหานคร โดยมีการให้บริการทางการแพทย์ครบวงจรทั้งผู้ป่วยนอกและผู้ป่วยใน รวมทั้งศูนย์บริการผู้ป่วยต่างชาติ และลงทุนในธุรกิจการแพทย์และธุรกิจที่เกี่ยวข้องทั้งในและต่างประเทศ,http://www.bumrungrad.com/,https://weblink.set.or.th/dat/f56/0168ONE230320261649430991T.zip,2026-05-13T12:56:17
SET,COMM,BIG,บริษัท บิ๊ก คาเมร่า คอร์ปอเรชั่น จำกัด (มหาชน),ค้าปลีกอุปกรณ์ถ่ายภาพและโทรศัพท์เคลื่อนที่,http://www.bigcamera.co.th/,https://weblink.set.or.th/dat/f56/0234E1N300320260859540200T.zip,2026-05-13T12:56:30
SET,ENERG,BIOTEC,บริษัท ไบโอ กรีน เอ็นเนอร์ยี่ เทค จำกัด (มหาชน),1) ธุรกิจน้ำมันปาล์ม (ธุรกิจหลัก) ประกอบธุรกิจผลิตและจำหน่ายน้ำมันไบโอดีเซล (B100) และผลิตภัณฑ์พลอยได้จากปาล์ม2) ธุรกิจพาณิชย์นาวี ประกอบธุรกิจเดินเรือระหว่างประเทศ และธุรกิจเกี่ยวกับการเดินเรือทะเล อย่างครบวงจร,http://www.biogreen-energytech.com/,https://weblink.set.or.th/dat/f56/0174ONE230320261727250044T.zip,2026-05-13T12:56:24
mai,SERVICE,BIS,บริษัท ไบโอซายน์ แอนิมัล เฮลธ์ จำกัด (มหาชน),เป็นผู้ผลิต ผู้นำเข้า และผู้จัดจำหน่ายเวชภัณฑ์ เครื่องมือ อุปกรณ์ และผลิตภัณฑ์สำหรับปศุสัตว์และสัตว์เลี้ยง,https://www.bis-group.com/,https://weblink.set.or.th/dat/f56/1705E1N310320261304180273T.zip,2026-05-13T12:56:28
SET,PERSON,BIZ,บริษัท บิสซิเนสอะไลเม้นท์ จำกัด (มหาชน),บริษัทดำเนินธุรกิจเป็นผู้จำหน่ายและติดตั้งชุดเครื่องมือทางการแพทย์สำหรับรักษาผู้ป่วยโรคมะเร็งด้วยวิธีรังสีรักษา (Radiotherapy) และให้บริการซ่อมบำรุงรักษาชุดเครื่องมือทางการแพทย์ดังกล่าว (Maintenance Service),http://www.bizalignment.com/,https://weblink.set.or.th/dat/f56/1326E1N090320261141360474T.zip,2026-05-13T12:56:40
SET,COMM,BJC,บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน),1. กลุ่มสินค้าและบริการทางการค้าปลีกสมัยใหม่2. กลุ่มสินค้าและบริการทางบรรจุภัณฑ์ 3. กลุ่มสินค้าและบริการทางอุปโภคบริโภค4. กลุ่มสินค้าและบริการทางเวชภัณฑ์และทางเทคนิค,http://www.bjc.co.th/,https://weblink.set.or.th/dat/f56/0002ONE310320262041440651T.zip,2026-05-13T12:56:33
SET,CONS,BJCHI,บริษัท บีเจซี เฮฟวี่ อินดัสทรี จำกัด (มหาชน),"ดำเนินธุรกิจวิศวกรรมด้านการรับจ้างผลิต และการติดตั้งอุปกรณ์ต่างๆ ที่ใช้ในกระบวนการผลิตในโรงงานอุตสาหกรรมตามแบบและขนาดที่ลูกค้ากำหนด โดยบริษัทสามารถผลิตสินค้าและบริการรองรับการใช้งานของลูกค้าได้ในหลากหลายอุตสาหกรรม เช่น พลังงาน โรงกลั่นน้ำมัน โรงฟ้า ก๊าซธรรมชาติ ปิโตรเคมี และเหมืองแร่ เป็นต้น โดยแบ่งลักษณะผลิตภัณฑ์ได้เป็น 4 ประเภท ได้แก่ งานแปรรูปผลิตภัณฑ์เหล็ก (Fabrication), งานแปรรูปและประกอบกลุ่มชิ้นงานขนาดใหญ่ (Modularization), งานติดตั้งนอกสถานที่ (Site Erection) และงานหล่อชิ้นส่วนคอนกรีตสำเร็จรูป (Precast Concrete)",http://www.bjc1994.com/,https://weblink.set.or.th/dat/f56/1158E1N260320262120300037T.zip,2026-05-13T12:56:42
mai,PROPCON,BKA,บริษัท บางกอก แอสเซท อินเตอร์กรุ๊ป จำกัด (มหาชน),ให้บริการปรับปรุงบ้านมือสองเพื่อขาย เป็นนายหน้าซื้อ-ขายอสังหาริมทรัพย์ และซื้อบ้านมือสองมาปรับปรุงเพื่อขาย,http://www.bangkokasset.co.th/,https://weblink.set.or.th/dat/f56/1892E1N310320261811520707T.zip,2026-05-13T12:56:34
SET,CONS,BKD,บริษัท บางกอก เดค-คอน จำกัด (มหาชน),1) รับเหมาตกแต่งภายในอาคาร ประเภทคอนโดมิเนียม โรงแรม สำนักงาน ห้างสรรพสินค้า มหาวิทยาลัย โรงพยาบาล และสถานที่ราชการ2) ผลิตและจัดจำหน่ายเฟอร์นิเจอร์สำเร็จรูปตามคำสั่งซื้อลูกค้า,http://www.bangkokdeccon.com/,https://weblink.set.or.th/dat/f56/1147ONE260320261931220195T.zip,2026-05-13T12:56:33
SET,HELTH,BKGI,บริษัท แบงคอกจีโนมิกส์อินโนเวชั่น จำกัด (มหาชน),ประกอบกิจการห้องปฏิบัติการ และให้บริการการตรวจวินิจฉัยทางการแพทย์,https://www.bangkokgenomics.com/,https://weblink.set.or.th/dat/f56/1828E1N310320261528540386T.zip,2026-05-13T12:56:29
SET,INSUR,BKIH,บริษัท บีเคไอ โฮลดิ้งส์ จำกัด (มหาชน),BKIH ประกอบธุรกิจหลักโดยการถือหุ้นในบริษัทอื่น (Holding Company) ซึ่งมีธุรกิจหลักคือ ธุรกิจประกันภัย ประกอบด้วย ธุรกิจประกันภัยในประเทศไทย ธุรกิจประกันภัยในต่างประเทศ และธุรกิจที่เกี่ยวข้องกับธุรกิจประกันภัย,https://www.bkiholdings.com/,https://weblink.set.or.th/dat/f56/1877ONE300320261521100345T.zip,2026-05-13T12:56:40
SET,INSUR,BLA,บริษัท กรุงเทพประกันชีวิต จำกัด (มหาชน),บริษัท กรุงเทพประกันชีวิต จำกัด (มหาชน) ดำเนินธุรกิจประกันชีวิตและบริการวางแผนทางการเงินอย่างรอบด้าน โดยการประกันชีวิตเป็นวิธีการที่บุคคลกลุ่มหนึ่งร่วมกันเฉลี่ยภัยอันเนื่องจากการเสียชีวิต การสูญเสียอวัยวะ ทุพพลภาพ และการสูญเสียรายได้ในยามชรา เมื่อบุคคลใดต้องประสบกับภัยเหล่านั้น จะได้รับเงินตามเงื่อนไขข้อตกลงที่ตกลงกันไว้ เพื่อบรรเทาความเดือดร้อนแก่ตนเองและครอบครัว โดยบริษัทจะจ่ายให้แก่ผู้ประสบภัยหรือผู้รับผลประโยชน์,http://www.bangkoklife.com/,https://weblink.set.or.th/dat/f56/1016ONE110320262126540403T.zip,2026-05-13T12:56:35
SET,PROP,BLAND,บริษัท บางกอกแลนด์ จำกัด (มหาชน),ธุรกิจหลักของบริษัทและบริษัทย่อย ได้แก่ ธุรกิจด้านการพัฒนาอสังหาริมทรัพย์เพื่อขาย ธุรกิจอื่นของกลุ่มบริษัทประกอบด้วยธุรกิจค้าปลีก การให้บริการดูแลและบริหารอาคาร ให้เช่าอสังหาริมทรัพย์และให้บริการและบริหารศูนย์นิทรรศการเอนกประสงค์,http://www.bangkokland.co.th/,https://weblink.set.or.th/dat/f56/0285ONE260620251554570678T.zip,2026-05-13T12:56:37
SET,PERSON,BLC,บริษัท บางกอกแล็ป แอนด์ คอสเมติค จำกัด (มหาชน),ผลิตและจำหน่ายผลิตภัณฑ์ยาแผนปัจจุบัน ประเภทยาสามัญ และยาสามัญใหม่ ผลิตภัณฑ์ยาสมุนไพร ผลิตภัณฑ์ยาสำหรับสัตว์ เครื่องสำอาง ผลิตภัณฑ์เสริมอาหาร และเครื่องมือแพทย์และอื่น ๆ,http://www.blcplc.com/,https://weblink.set.or.th/dat/f56/1826E1N270220261705390070T.zip,2026-05-13T12:56:53
mai,PROPCON,BLESS,บริษัท เบล็ส แอสเสท กรุ๊ป จำกัด (มหาชน),พัฒนาอสังหาริมทรัพย์ประเภทที่อยู่พักอาศัยเพื่อขาย,https://www.bagroup.co.th/,https://weblink.set.or.th/dat/f56/1704E1N230320260859030645T.zip,2026-05-13T12:56:44
SET,ICT,BLISS,บริษัท บลิส อินเทลลิเจนซ์ จำกัด (มหาชน),ดำเนินธุรกิจ ด้านเทคโนโลยีสารสนเทศ การสื่อสาร และโทรคมนาคม รวมถึงงานโครงสร้างพื้นฐาน ซึ่งให้บริการทั้งด้าน Software และ Hardware,http://www.blissintelligence.co.th/,https://weblink.set.or.th/dat/f56/0812ONE300320261826230342T.zip,2026-05-13T12:56:53
mai,INDUS,BM,บริษัท บางกอกชีทเม็ททัล จำกัด (มหาชน),บริษัทดำเนินธุรกิจเป็นผู้ผลิตและจำหน่ายสินค้าแปรรูปผลิตภัณฑ์โลหะ แบ่งออกเป็น 6 กลุ่มสินค้า ประกอบด้วย (1) รางและท่อร้อยสายไฟฟ้า (2) ตู้สื่อสาร ตู้ไฟฟ้า และตู้โลหะ (3) ตู้ควบคุมไฟฟ้าและโคมไฟฟ้า (4) โลหะเชื่อมประกอบ (5) แม่พิมพ์โลหะ เครื่องมือ และอุปกรณ์ และ เฟอร์นิเจอร์โลหะ (6) ชิ้นส่วนโลหะ,http://www.bmplc.co.th/,https://weblink.set.or.th/dat/f56/1315ONE270320261646310130T.zip,2026-05-13T12:56:46
SET,PF&REIT,BOFFICE,ทรัสต์เพื่อการลงทุนในสิทธิการเช่าอสังหาริมทรัพย์ภิรัชออฟฟิศ,ลงทุนในสิทธิการเช่าอาคารสำนักงานภิรัชทาวเวอร์ แอท เอ็มควอเทียร์ และกรรมสิทธิ์ในสังหาริมทรัพย์ที่เกี่ยวข้องกับการดำเนินงานของสำนักงาน โดยมีระยะเวลาการเช่าประมาณ 26 ปี 9 เดือน นับแต่วันที่จดทะเบียนการเช่า ลงทุนในสิทธิการเช่าอาคารสำนักงานภิรัชทาวเวอร์ แอท ไบเทค และกรรมสิทธิ์ในสังหาริมทรัพย์ที่เกี่ยวข้องกับการดำเนินงานของสำนักงาน โดยมีระยะเวลาการเช่า 30 ปี นับแต่วันที่จดทะเบียนการเช่า,http://www.bofficereit.com/,https://weblink.set.or.th/dat/annual/1414ANN070420261344450511T.zip,2026-05-13T12:56:43
mai,SERVICE,BOL,บริษัท บิซิเนส ออนไลน์ จำกัด (มหาชน),บริษัท บิซิเนส ออนไลน์ จำกัด (มหาชน) เป็นผู้นำในการให้บริการข้อมูลเพื่อการตัดสินใจทางธุรกิจที่ครอบคลุมทั้งด้านโอกาสและความเสี่ยงในการทำธุรกิจ โดยให้บริการข้อมูลเชิงลึกผ่านซอฟต์แวร์และแอพพลิเคชั่นที่ทันสมัย ตลอดจนเป็นผู้ออกแบบและพัฒนาโซลูชันสำหรับผู้ประกอบการและสถาบันการเงิน รวมถึงเป็นที่ปรึกษาทางธุรกิจทั้งในประเทศและภูมิภาคอาเซียน,http://www.bol.co.th/,https://weblink.set.or.th/dat/f56/0771E1N020320261835450627T.zip,2026-05-13T12:56:39
SET,ENERG,BPP,บริษัท บ้านปู เพาเวอร์ จำกัด (มหาชน),ประกอบธุรกิจโดยการถือหุ้นในบริษัทอื่น (Holding Company) ที่ประกอบธุรกิจหลักด้านการผลิตและจำหน่ายไฟฟ้าและธุรกิจที่เกี่ยวข้อง,http://www.banpupower.com/,https://weblink.set.or.th/dat/f56/1313ONE200320261544080228T.zip,2026-05-13T12:56:51
mai,INDUS,BPS,บริษัท บีพีเอส เทคโนโลยี จำกัด (มหาชน),จำหน่ายอุปกรณ์เชื่อมต่อไฟฟ้าภายในอาคาร สินค้าเทคโนโลยีที่เกี่ยวข้อง อุปกรณ์โซลาร์เซลล์บริการจัดหา ออกแบบติดตั้ง โครงการผลิตไฟฟ้าพลังงานแสงอาทิตย์จากโซลาร์เซลล์แบบติดตั้งบนหลังคา ระบบควบคุมการจ่ายไฟฟ้า โครงข่ายไฟเบอร์ออพติกเพื่อการสื่อสาร และผลิตภัณฑ์ที่ช่วยอำนวยความสะดวก ภายในที่อยู่อาศัยและอาคารพาณิชย์,https://www.bpstechnology.co.th/,https://weblink.set.or.th/dat/f56/1866ONE270320261708200985T.zip,2026-05-13T12:56:47
SET,FOOD,BR,บริษัท บางกอกแร้นช์ จำกัด (มหาชน),"บริษัท บางกอกแร้นช์ จำกัด (มหาชน) (""บริษัทฯ"") เป็นผู้นำในธุรกิจผลิตอาหารจากเนื้อเป็ดแบบครบวงจร โดยดำเนินธุรกิจเกษตรอุตสาหกรรมและผลิตอาหารจากเนื้อเป็ดที่มีคุณภาพในระดับพรีเมี่ยม และจำแนกธุรกิจของกลุ่มบริษัทออกเป็น 5 ประเภท ได้แก่ 1) ธุรกิจอาหารสัตว์ 2) ธุรกิจฟาร์มพ่อแม่พันธุ์เป็ด 3) ธุรกิจโรงฟักไข่เป็ด 4) ธุรกิจฟาร์มเลี้ยงเป็ดเนื้อ และ 5) ธุรกิจโรงงานชำแหละและแปรรูปเนื้อเป็ด เพื่อผลิตเป็นผลิตภัณฑ์อาหารแปรรูปพร้อมปรุง และผลิตภัณฑ์อาหารแปรรูปปรุงสุกจากเนื้อเป็ด รวมถึงผลพลอยได้อื่นๆ โดยผลิตภัณฑ์ของกลุ่มบริษัทมีการจำหน่ายทั้งในประเทศและต่างประเทศ ทั้งเอเชีย ยุโรป และตะวันออกกลาง กลุ่มบริษัทมีฐานการผลิตแบบครบวงจรทั้งในประเทศไทยและประเทศเนเธอร์แลนด์",http://www.br-brgroup.com/,https://weblink.set.or.th/dat/f56/1267ONE300320260831560435T.zip,2026-05-13T12:56:47
SET,PROP,BRI,บริษัท บริทาเนีย จำกัด (มหาชน),พัฒนาอสังหาริมทรัพย์ประเภทที่อยู่อาศัยแนวราบ ได้แก่ บ้านเดีี่ยว บ้านแฝด และทาวน์โฮม,https://britania.co.th/,https://weblink.set.or.th/dat/f56/1675ONE310320261829230854T.zip,2026-05-13T12:57:08
SET,PROP,BROCK,บริษัท บ้านร็อคการ์เด้น จำกัด (มหาชน),พัฒนาอสังหาริมทรัพย์ประเภทบ้านจัดสรรเพื่อจำหน่าย ในกรุงเทพมหานคร ภูเก็ตและสมุทรปราการ,http://www.rockgarden.co.th/,https://weblink.set.or.th/dat/f56/0887E1N160320261241150745T.zip,2026-05-13T12:56:56
SET,FOOD,BRR,บริษัท น้ำตาลบุรีรัมย์ จำกัด (มหาชน),"บริษัทดำเนินธุรกิจลงทุนในบริษัทอื่น (Holding Company) โดยลงทุนในบริษัทย่อยที่ถือหุ้นร้อยละ 99.99 ซึ่งดำเนินธุรกิจจำนวน 6 บริษัท โดยมีธุรกิจหลักเป็นธุรกิจผลิตและจำหน่ายน้ำตาลทราย และอุตสาหกรรมต่อเนื่อง ได้แก่ 1) ธุรกิจผลิตและจำหน่ายน้ำตาลทราย โดยมีบริษัท โรงงานน้ำตาลบุรีรัมย์ จำกัด เป็นบริษัทแกน 2) ธุรกิจผลิตและจำหน่ายไฟฟ้าจากพลังงานชีวมวล โดยบริษัท บุรีรัมย์พลังงาน จำกัด, บริษัท บุรีรัมย์เพาเวอร์ จำกัด และ บริษัท บุรีรัมย์เพาเวอร์พลัส จำกัด 3) ธุรกิจผลิตและจำหน่ายปุ๋ยอินทรีย์ โดยบริษัท ปุ๋ยตรากุญแจ จำกัด 4) ธุรกิจผลิตบรรจุภัณฑ์ เครื่องใช้ และอุปกรณ์ต่าง ๆ จากชานอ้อย และเยื่อพืชธรรมชาติชนิดอื่น โดย บริษัท ชูการ์เคน อีโคแวร์ จำกัด เเละ 5)ธุรกิจการบริหารจัดการโลจิสติกส์และบริการขนส่ง โดยบริษัท บีอาร์อาร์ โลจิสติกส์ แมเนจเมนท์ จำกัด",http://www.buriramsugar.com/,https://weblink.set.or.th/dat/f56/1224ONE260320261657590308T.zip,2026-05-13T12:57:08
SET,ENERG,BRRGIF,กองทุนรวมโครงสร้างพื้นฐานโรงไฟฟ้ากลุ่มน้ำตาลบุรีรัมย์,BRRGIF ลงทุนในสิทธิในรายได้สุทธิของโรงไฟฟ้าชีวมวล (กากอ้อย) ของบริษัท บุรีรัมย์พลังงาน จำกัด และบริษัท บุรีรัมย์เพาเวอร์ จำกัด ซึ่งเป็นบริษัทย่อยของบริษัท น้ำตาลบุรีรัมย์ จำกัด (มหาชน) (BRR) ทั้งนี้ระยะเวลาของสัญญาโอนสิทธิรายได้ดังกล่าวมีอายุประมาณ 18 ปี (สิ้นสุดสัญญาวันที่ 6 เมษายน 2578),http://www.bblam.co.th/,https://weblink.set.or.th/dat/annual/1372ANN010420261009440259T.zip,2026-05-13T12:56:57
SET,STEEL,BSBM,บริษัท บางสะพานบาร์มิล จำกัด (มหาชน),ผลิตและจำหน่ายเหล็กเส้นกลมและเหล็กเส้นข้ออ้อย,http://www.bsbm.co.th/,https://weblink.set.or.th/dat/f56/0824E1N260320262002040347T.zip,2026-05-13T12:56:55
mai,PROPCON,BSM,บริษัท บิวเดอสมาร์ท จำกัด (มหาชน),ผลิตและจำหน่ายผลิตภัณฑ์ก่อสร้างคุณภาพสูง และ ผลิตและก่อสร้างอาคารสำเร็จรูป (Smart Modular),http://www.bsmgroup.asia/,https://weblink.set.or.th/dat/f56/0971ONE310320261932100060T.zip,2026-05-13T12:56:51
mai,FINCIAL,BTC,บริษัท บรุ๊คเคอร์ กรุ๊ป จำกัด (มหาชน),ให้บริการด้านข้อมูลหรือคำปรึกษาด้านธุรกิจและการเงิน การลงทุน รวมทั้งเป็นที่ปรึกษาอิสระให้แก่องค์กรชั้นนำของภาคเอกชนทั้งในประเทศและต่างประเทศ,http://www.brookergroup.com/,https://weblink.set.or.th/dat/f56/0634ONE260320260907060357T.zip,2026-05-13T12:57:04
SET,FOOD,BTG,บริษัท เบทาโกร จำกัด (มหาชน),ธุรกิจเกษตรอุตสาหกรรมและอาหารครบวงจร,http://www.betagro.com/,https://weblink.set.or.th/dat/f56/0612ONE190320261040050268T.zip,2026-05-13T12:56:57
SET,FASHION,BTNC,บริษัท บูติคนิวซิตี้ จำกัด (มหาชน),"จัดจำหน่าย ออกแบบ และผลิตสินค้าประเภทเสื้อผ้าสำเร็จรูปสำหรับสตรีและบุรุษภายใต้แบรนด์สินค้ามากมาย เช่น GUY LAROCHE, C&D, LOF.FI.CIEL, JOUSSE, GSP, UNIFORM SPECIALIZER, STEPHANIE, ADOLFO DOMINGUEZ,",http://www.btnc.co.th/,https://weblink.set.or.th/dat/f56/0095ONE090320261701540793T.zip,2026-05-13T12:56:57
SET,TRANS,BTS,บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),กลุ่มบริษัทที่ประกอบธุรกิจในหลากหลายอุตสาหกรรมโดยมุ่งเน้นการใช้ประโยชน์จากการเข้าถึงข้อมูลเครือข่ายระบบขนส่งมวลชนและสื่อโฆษณา รวมทั้งการเป็นพันธมิตรทางธุรกิจกับบริษัทต่าง ๆ เพื่อเพิ่มมูลค่าทางธุรกิจแก่กลุ่มบริษัทและพันธมิตรผ่านการดำเนินธุรกิจใน 3 แพลตฟอร์ม ได้แก่ MOVE MIX และ MATCH,http://www.btsgroup.co.th/,https://weblink.set.or.th/dat/f56/0221ONE240620252148540287T.zip,2026-05-13T12:57:24
SET,TRANS,BTSGIF,กองทุนรวมโครงสร้างพื้นฐานระบบขนส่งมวลชนทางราง บีทีเอสโกรท,ลงทุนในรายได้สุทธิที่จะเกิดขึ้นจากการดำเนินงานระบบรถไฟฟ้าขนส่งมวลชนกรุงเทพสายหลัก (ได้แก่ระบบรถไฟฟ้าขนส่งมวลชนกรุงเทพสายแรกเริ่ม ซึ่งครอบคลุมระยะทาง 23.5 กิโลเมตร ได้แก่ สายสุขุมวิท ระยะทาง 17 กิโลเมตรจากสถานีหมอชิตถึงสถานีอ่อนนุช และสายสีลม ระยะทาง 6.5 กิโลเมตรจากสถานีสนามกีฬาแห่งชาติถึงสถานีสะพานตากสิน) ตามสัญญาสัมปทานนับจากวันที่ทำการซื้อขายเสร็จสิ้นจนถึงวันสิ้นสุดอายุสัญญาสัมปทาน คือวันที่ 4 ธันวาคม พ.ศ. 2572 ซึ่งสัญญาสัมปทานดังกล่าวมีอายุสัมปทาน 30 ปี,http://www.btsgif.com/,https://weblink.set.or.th/dat/annual/1126ANN070720251537540387T.zip,2026-05-13T12:57:08
